date,home_team,score,away_team
14-12-2024,,Liverpool,2 - 2
26-12-2024,,Liverpool,3 - 1
05-01-2025,,Liverpool,2 - 2
25-01-2025,,Liverpool,4 - 1
16-02-2025,,Liverpool,2 - 1
17-08-2024,,Ipswich,0 - 2
01-09-2024,,Man United,0 - 3
28-09-2024,,Wolves,1 - 2
05-10-2024,,Crystal Palace,0 - 1
27-10-2024,,Arsenal,2 - 2
24-11-2024,,Southampton,2 - 3
04-12-2024,,Newcastle,3 - 3
22-12-2024,,Tottenham,3 - 6
29-12-2024,,West Ham,0 - 5
14-01-2025,,Nott'm Forest,1 - 1
18-01-2025,,Brentford,0 - 2
01-02-2025,,Bournemouth,0 - 2
12-02-2025,,Everton,2 - 2
24-08-2024,,Man City,4 - 1
14-09-2024,,Man City,2 - 1
22-09-2024,,Man City,2 - 2
05-10-2024,,Man City,3 - 2
26-10-2024,,Man City,1 - 0
23-11-2024,,Man City,0 - 4
04-12-2024,,Man City,3 - 0
15-12-2024,,Man City,1 - 2
26-12-2024,,Man City,1 - 1
04-01-2025,,Man City,4 - 1
25-01-2025,,Man City,3 - 1
15-02-2025,,Man City,4 - 0
18-08-2024,,Chelsea,0 - 2
31-08-2024,,West Ham,1 - 3
28-09-2024,,Newcastle,1 - 1
20-10-2024,,Wolves,1 - 2
02-11-2024,,Bournemouth,2 - 1
09-11-2024,,Brighton,2 - 1
01-12-2024,,Liverpool,2 - 0
07-12-2024,,Crystal Palace,2 - 2
21-12-2024,,Aston Villa,2 - 1
29-12-2024,,Leicester,0 - 2
14-01-2025,,Brentford,2 - 2
19-01-2025,,Ipswich,0 - 6
02-02-2025,,Arsenal,5 - 1
16-08-2024,,Man United,1 - 0
01-09-2024,,Man United,0 - 3
29-09-2024,,Man United,0 - 3
19-10-2024,,Man United,2 - 1
03-11-2024,,Man United,1 - 1
10-11-2024,,Man United,3 - 0
01-12-2024,,Man United,4 - 0
07-12-2024,,Man United,2 - 3
22-12-2024,,Man United,0 - 3
30-12-2024,,Man United,0 - 2
16-01-2025,,Man United,3 - 1
19-01-2025,,Man United,1 - 3
02-02-2025,,Man United,0 - 2
24-08-2024,,Brighton,2 - 1
14-09-2024,,Southampton,0 - 3
21-09-2024,,Crystal Palace,0 - 0
06-10-2024,,Aston Villa,0 - 0
27-10-2024,,West Ham,2 - 1
24-11-2024,,Ipswich,1 - 1
04-12-2024,,Arsenal,2 - 0
15-12-2024,,Man City,1 - 2
26-12-2024,,Wolves,2 - 0
05-01-2025,,Liverpool,2 - 2
26-01-2025,,Fulham,0 - 1
16-02-2025,,Tottenham,1 - 0
17-08-2024,,Newcastle,1 - 0
01-09-2024,,Newcastle,2 - 1
28-09-2024,,Newcastle,1 - 1
19-10-2024,,Newcastle,0 - 1
02-11-2024,,Newcastle,1 - 0
25-11-2024,,Newcastle,0 - 2
04-12-2024,,Newcastle,3 - 3
14-12-2024,,Newcastle,4 - 0
26-12-2024,,Newcastle,3 - 0
15-01-2025,,Newcastle,3 - 0
18-01-2025,,Newcastle,1 - 4
01-02-2025,,Newcastle,1 - 2
25-08-2024,,Bournemouth,1 - 1
15-09-2024,,Wolves,1 - 2
21-09-2024,,Fulham,3 - 1
05-10-2024,,Everton,0 - 0
27-10-2024,,Chelsea,2 - 1
10-11-2024,,Nott'm Forest,1 - 3
30-11-2024,,Crystal Palace,1 - 1
07-12-2024,,Brentford,4 - 2
21-12-2024,,Ipswich,0 - 4
30-12-2024,,Man United,0 - 2
04-01-2025,,Tottenham,1 - 2
25-01-2025,,Southampton,1 - 3
15-02-2025,,Man City,4 - 0
17-08-2024,,Nott'm Forest,1 - 1
31-08-2024,,Nott'm Forest,1 - 1
28-09-2024,,Nott'm Forest,0 - 1
21-10-2024,,Nott'm Forest,1 - 0
02-11-2024,,Nott'm Forest,3 - 0
10-11-2024,,Nott'm Forest,1 - 3
30-11-2024,,Nott'm Forest,1 - 0
14-12-2024,,Nott'm Forest,2 - 1
26-12-2024,,Nott'm Forest,1 - 0
14-01-2025,,Nott'm Forest,1 - 1
19-01-2025,,Nott'm Forest,3 - 2
01-02-2025,,Nott'm Forest,7 - 0
24-08-2024,,Southampton,0 - 1
14-09-2024,,Liverpool,0 - 1
22-09-2024,,Brighton,2 - 2
06-10-2024,,Chelsea,1 - 1
25-10-2024,,Leicester,1 - 3
23-11-2024,,Arsenal,3 - 0
04-12-2024,,Man City,3 - 0
07-12-2024,,Man United,2 - 3
21-12-2024,,Brentford,0 - 2
29-12-2024,,Everton,0 - 2
06-01-2025,,Wolves,0 - 3
25-01-2025,,Bournemouth,5 - 0
15-02-2025,,Fulham,2 - 1
24-08-2024,,Southampton,0 - 1
14-09-2024,,Southampton,0 - 3
21-09-2024,,Southampton,1 - 1
19-10-2024,,Southampton,2 - 3
02-11-2024,,Southampton,1 - 0
24-11-2024,,Southampton,2 - 3
04-12-2024,,Southampton,1 - 5
15-12-2024,,Southampton,0 - 5
26-12-2024,,Southampton,0 - 1
04-01-2025,,Southampton,0 - 5
25-01-2025,,Southampton,1 - 3
15-02-2025,,Southampton,1 - 3
17-08-2024,,Newcastle,1 - 0
31-08-2024,,Brentford,3 - 1
30-09-2024,,Bournemouth,3 - 1
